T,T1,code,name,boards_T,theme,fb,rank_T,n_themes_T,fb_T1,rank_T1,open_pct_T1,yizi,amount_yi,touched,sealed,zhaban,dead_h,down_h,group_size,group_key
2026-04-29,2026-04-30,001266,宏英智能,2,一季报增长,34,1,18,21,1,6.07,True,1.19,True,False,True,5,2,2,2026-04-29|2板|一季报增长
2026-04-29,2026-04-30,600379,宝光股份,2,芯片,2,9,18,11,2,8.2,False,9.87,True,True,False,5,2,3,2026-04-29|2板|芯片
2026-04-29,2026-04-30,603629,利通电子,2,算力,4,4,18,4,5,8.4,False,18.83,True,True,False,5,2,3,2026-04-29|2板|算力
2026-04-29,2026-04-30,603399,永杉锂业,2,锂电池,16,2,18,4,5,9.98,False,10.38,True,True,False,5,2,1,2026-04-29|2板|锂电池
2026-05-06,2026-05-07,002081,金螳螂,4,商业航天,2,8,25,1,14,7.39,False,17.21,True,True,False,4,4,1,2026-05-06|4板|商业航天
2026-05-06,2026-05-07,600379,宝光股份,4,芯片,17,2,25,4,5,10.02,False,4.92,True,False,True,4,4,1,2026-05-06|4板|芯片
2026-05-06,2026-05-07,603399,永杉锂业,4,锂电池,3,6,25,0,24,9.47,True,1.63,True,False,True,4,4,1,2026-05-06|4板|锂电池
2026-05-08,2026-05-11,603045,福达合金,4,算力,6,3,26,6,3,9.99,True,1.04,True,True,False,5,4,1,2026-05-08|4板|算力
2026-05-12,2026-05-13,002918,蒙娜丽莎,3,芯片,9,1,16,15,1,1.79,True,0.56,True,True,False,5,3,1,2026-05-12|3板|芯片
2026-05-12,2026-05-13,600530,交大昂立,3,保健品,0,17,16,0,30,7.91,False,4.39,True,True,False,5,3,1,2026-05-12|3板|保健品
2026-05-12,2026-05-13,600683,京投发展,3,并购重组,1,9,16,3,7,-0.24,False,16.64,False,False,False,5,3,1,2026-05-12|3板|并购重组
2026-05-14,2026-05-15,002208,合肥城建,3,芯片,10,1,14,4,3,-0.96,False,18.88,True,False,True,6,3,1,2026-05-14|3板|芯片
2026-05-14,2026-05-15,603007,花王股份,3,通信,4,3,14,0,18,-1.73,True,2.68,False,False,False,6,3,1,2026-05-14|3板|通信
2026-05-18,2026-05-19,600578,京能电力,4,电力,4,6,24,8,2,0.0,False,18.38,True,False,True,6,4,1,2026-05-18|4板|电力
2026-05-19,2026-05-20,603082,北自科技,4,机器人概念,13,1,22,4,2,-10.0,True,2.64,False,False,False,4,4,1,2026-05-19|4板|机器人概念
2026-05-20,2026-05-21,002782,可立克,2,智能电网,0,19,18,0,15,0.03,False,12.76,False,False,False,4,2,1,2026-05-20|2板|智能电网
2026-05-20,2026-05-21,003004,声迅股份,2,ST摘帽,1,9,18,1,8,4.45,False,2.1,True,True,False,4,2,1,2026-05-20|2板|ST摘帽
2026-05-20,2026-05-21,600563,法拉电子,2,元器件,0,19,18,0,15,3.47,False,12.4,False,False,False,4,2,1,2026-05-20|2板|元器件
2026-05-20,2026-05-21,605288,凯迪股份,2,机器人概念,4,2,18,3,2,-4.0,False,4.81,True,False,True,4,2,1,2026-05-20|2板|机器人概念
2026-05-21,2026-05-22,000518,四环生物,2,ST摘帽,1,8,14,0,25,8.53,False,6.65,True,True,False,4,2,1,2026-05-21|2板|ST摘帽
